sample_index,reference,real_eeg,shuffled_eeg,exact_match
349,"In 1983, Miguel was given a small part as a waiter in the movie The Man Who Wasn't There.",He was awarded the Presidential Medal of Freedom in 1776.,"He was a member of the Skull and Bones society, but left in 1950 to become president.",False
350,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.",He was a fan of the animated television series The Simpsons and also wrote extensively on race cars.,"It's a great American adventure, but it is also one of the best.",False
351,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,The movie is a blast of colorful pop music and the visual style are captured in stunning colors.,"The movie is so bad that it almost ceases to be funny, and instead becomes fodder for the next generation of critics.",False
352,Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a**holes.,"The film is a great example of the power of cinema to bring us together in an emotionally unavailable, unlikable situation.",He graduated from Morehouse College in 1876.,False
353,"So young, so smart, such talent, such a wise ***.",The film is neither as compelling nor as dramatic as it should be.,"He was a member of the Skull and Bones society, but left in 1894 to become president of the American Enterprise Institute.",False
354,"His employment by the General Electric company further enhanced his political image; he travelled widely as a GE spokesman, and was noted for his anti-Communist speeches.","He was a member of the Skull and Bones society, but left in 1894 to become president of the American Enterprise Institute.",He was awarded the 1921 Nobel Prize for Physics in Physiology or Medicine.,False
355,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","The movie is so bad that it almost ceases to be a compelling story, but instead serves as fodder for the filmmakers who have been spending their time in vain trying to figure out how not to tell its audience.","John Davison Rockefeller (January 30, 1887 - December 23, 1963) was an American capitalist most known for his role in the early petroleum industry and as a founder of Standard Oil (ExxonMobil is one of its descendants).",False
356,"A lousy movie that's not merely unwatchable, but also unlistenable.","It's a great American adventure, but it is also one that will leave you scratching your head.","The film is a great example of the power of cinema to bring us together in an emotionally unavailable, unlikable situation.",False
357,"Lift, the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.",He was awarded the 1921 Nobel Prize for Physics by his explanation of photoelectric effect in 1905.,A work of extraordinary grace and spare dialogue that permeates the otherwise painfully stultifying film.,False
358,"``My god, I'm behaving like an idiot!''",He is a member of the Skull and Bones family.,"A deeply personal and affecting film, but one that will appeal to a wider swath of American culture.",False
359,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.","A deeply personal and affecting film, but one that will appeal to a wider swath of American culture.",He graduated from Harvard in 1876.,False
360,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.","The movie is so bad that it almost ceases to be entertaining, and instead becomes a depressing waste of film.",He graduated from high school in 1876 and enrolled at the University of Wisconsin-Madison as a political science major.,False
361,He was the founder and first president of the Naval War College between 1884 and 1886.,"In 1876, he founded the Standard Oil Company with his son James Stillman and in 1870 becameStandard Oil.","The movie is so bad that it almost ceases to be a compelling story, but instead serves as fodder for the filmmakers who have been spending their time in vain trying to figure out how not to tell its audience.",False
362,He was then hired by the legal department of CBS subsidiary Columbia Records.,He graduated from Morehouse College in 1876.,"He was born in New York City to William Barrett, Jr., a U.S. engineer and his wife Eleanor Roosevelt; their son George H. W. Bush (George Herbert Walker), who were both of Irish descent but died at birth.",False
363,"Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.","John Davison Rockefeller (January 30, 1887 - December 23, 1963) was an American capitalist most known for his role in the early petroleum industry and as a founder of Standard Oil (ExxonMobil is one of its descendants).",He was born in New York City to a Jewish American family and an Irish-American civil servant.,False
364,"Hutchinson emigrated from England to Massachusetts in 1634, in response to the preacher John Cotton's doing so.","In 1879, he was ordained to the priesthood by Rev. Martin Luther King, Jr., Sr.","The movie is so bad that it almost ceases to be funny, and the audience has become numb to its subject.",False
365,He was the first American to win a Nobel Prize in any category.,He was awarded the 1921 Nobel Prize for Physics in Physiology or Medicine.,He was born in San Juan where his family moved when he was a child.,False
366,"His employment by the General Electric company further enhanced his political image; he travelled widely as a GE spokesman, and was noted for his anti-Communist speeches.","He was a member of the Skull and Bones society, having previously been head coach at Yale University.","In 1876, he founded the Standard Oil Company with his son James Stillman and in 1870 becameStandard Oil.",False
367,"Dole has worked part-time for a Washington, DC, law firm, and engaged in a career of writing, consulting, public speaking, and television appearances.",He was born in New York City to a Jewish American family and an Irish-American civil servant.,"In 1879, he was ordained to the priesthood by Rev. Martin Luther King, Jr., Sr.",False
368,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.","John Fitzgerald Kennedy (May 23, 1787 - December 5, 1876) was an American novelist and poet.","The movie is as if it were a comedy about an extended family, but instead of being funny and poignant, the film feels more like a horror.",False
369,Burroughs graduated from Harvard University in 1936.,He graduated from Harvard in 1876.,"He was born in New York City to William Benton, Jr., a U.S. ambassador to France from 1805 until 1706 and served as the only son of President James Monroe who never married during his stay there.",False
370,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.",He was born in San Juan where his family moved when he was a child.,"It's a great American adventure, but it is also one that will leave you scratching your head.",False
371,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.","The movie is so bad that it almost ceases to be funny, and instead becomes a rousing indictment of human decency.",He was a member of the United States Republican Party and served as chairman of the Democratic Leadership Council from 1975 until 1977.,False
372,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,"The movie is as if it were a comedy about an extended family, but instead of being funny and poignant, the film feels more like a horror.","He was a member of the Skull and Bones society, having previously been head coach at Yale University.",False
373,He was one of the founder members of the Lunar Society.,He was a founding member of the Arithmometer Company.,"In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division.",False
374,"Despite his father's opposition to him having a foreign-born wife, Adams wed Louisa Johnson in 1797.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division.",The film is neither as compelling nor as dramatic as it should be.,False
375,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.","A work of extraordinary intelligence and stunning precision, but it also has a compelling human impulse.",He is a member of the Skull and Bones family.,False
376,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,A work of extraordinary grace and spare dialogue that permeates the otherwise painfully stultifying film.,"The movie is so bad that it almost ceases to be funny, and instead becomes a rousing indictment of human decency.",False
377,"In 1983, Miguel was given a small part as a waiter in the movie The Man Who Wasn't There.","He was born in St Germain de Joux, France to a French and Italian descent.",It's a good sign when you're an American.,False
378,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.","The movie is so bad that it almost ceases to be funny, and the audience has become numb to its subject.",He was a founding member of the Arithmometer Company.,False
379,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.",He graduated from high school in 1876 and enrolled at the University of Wisconsin-Madison as a political science major.,He was awarded the 1921 Nobel Prize for Physics by his explanation of photoelectric effect in 1905.,False
380,"Abram Joffe, a Soviet physicist who knew Einstein, in an obituary of Einstein, wrote, ""The author of [the papers of 1905] was ... a bureaucrat at the Patent Office in Bern, Einstein-Maria"" and this has recently been taken as evidence of a collaborative relationship.","He was born in New York City to William Barrett, Jr., a U.S. engineer and his wife Eleanor Roosevelt; their son George H. W. Bush (George Herbert Walker), who were both of Irish descent but died at birth.","John Fitzgerald Kennedy (May 23, 1787 - December 5, 1876) was an American novelist and poet.",False
381,The sort of movie that gives tastelessness a bad rap.,It's a good sign when you're an American.,"A work of extraordinary intelligence and stunning precision, but it also has a compelling human impulse.",False
382,"He remained in Hollywood for the duration of the war, attaining the rank of captain.",He was a member of the United States Republican Party and served as chairman of the Democratic Leadership Council from 1975 until 1977.,"He was born in St Germain de Joux, France to a French and Italian descent.",False
383,"Although Adams lost in both the popular and electoral votes in the Presidential election of 1824, none of the candidates were able to secure a majority of the electoral vote, thereby putting the outcome in the hands of the House of Representatives, which to the surprise of many elected Adams over rival Andrew Jackson.","He was born in New York City to William Benton, Jr., a U.S. ambassador to France from 1805 until 1706 and served as the only son of President James Monroe who never married during his stay there.","The movie is so bad that it almost ceases to be entertaining, and instead becomes a depressing waste of film.",False
384,Bad and baffling from the get-go.,It's a work of astonishing grace.,"He was married to actress Rosemary Clooney from 1953 until 1956, and had five children: including actor Henry Ford (born 1955), Jr., born in 1958; and singer Rose Marie Presley.",False
385,"He was born near at Elston Hall near Nottingham, and educated at Chesterfield School then later at St. John's College, Cambridge.",He was born in San Juan where his family lived until he was 17.,"The movie is so bad that it almost ceases to be a worthwhile spectacle, and the audience will likely forget all about its original purpose.",False
386,"Lift, the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.","In 1968, he was awarded the Presidential Medal of Freedom by President Ronald Reagan.",The movie is a work of astonishing intelligence and stunning clarity.,False
387,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.","He served as a Republican from January 3, 1876 until February 4, 1901.","He was awarded the 1921 Nobel Prize for Physics by his fellow- mathematician, along with a Ph.D from Harvard Law School in 1922.",False
388,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.","He was a founding member of the Arista Records, and is currently special counsel at the Washington D.C.-based firm of Robert Aitken & Co., as well as managing director of the highly regarded John F. Kennedy Library.",He was awarded the 1921 Nobel Prize for Physics.,False
389,Burroughs graduated from Harvard University in 1936.,He graduated from Morehouse College in 1801 and received a Bachelor of Arts degree in Sociology in 1901.,"He served as a Republican from January 3, 1876 until February 4, 1901.",False
390,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.","He was a member of the United States Republican Party and served as chairman of the U.S. Senate from January 3, 1901 until December 4, 1903.","The movie is a great American adventure, but it also has plenty of fun for all ages.",False
391,"Lift, the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.","He was awarded the 1921 Nobel Prize for Physics by his explanation of ""miracle year"" and received a Ph.D from Harvard Law School in 1922.","He was a member of the United States Republican Party and served as chairman of the U.S. Senate from January 3, 1901 until December 4, 1903.",False
392,"Ulysses S. Grant (April 27, 1822 - July 23, 1885) was the 18th President of the United States (1869 - 1877).","He was a member of the Labour Party and served until January 3, 2003.","He was a member of the Skull and Bones society, as well as a founder of the American Nazi Party.",False
393,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail.","The movie is so bad that it almost ceases to be funny, and the audience has become numb with its conclusion.",He was born in San Juan where his family lived until he was 17.,False
394,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.","In 1879, he was elected to the United States House of Representatives as a Republican from Connecticut and was reelected in 1890.","In 1968, he was awarded the Presidential Medal of Freedom by President Ronald Reagan.",False
395,"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.","He was a member of the Skull and Bones society, as well as a founder of the American Nazi Party.","He served as a Republican from January 3, 1876 until December 4, 1901.",False
396,"... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.","The movie is a great American adventure, but it also has plenty of fun for all ages.","The film is a great example of the power of cinema to give us glimpses at our values, as well as into the lives of people who value their beliefs.",False
397,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail.","The movie is so bad that it almost ceases to be a worthwhile spectacle, and the audience will likely forget all about its original purpose.",He graduated from Marlborough College in 1805 and enrolled at the University of Wisconsin-Madison.,False
398,He also starred in the mini series The Stand.,"He was born in San Juan, Puerto Rico.",The film is a great example of how intolerance can tear families apart.,False
399,Benjamin Everett Jordan (8 September 1896 - 15 March 1974) was a Democratic U.S. senator from the state of North Carolina between 1958 and 1973.,He was a member of the Labour Party and is currently the only Democrat elected to that office.,"A work of extraordinary intelligence and stunning technical execution, but it also has a compelling story.",False
400,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.","He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Cantina.","He was a member of the Labour Party and served until January 3, 2003.",False
401,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,The movie is so bad that it almost ceases to be entertaining.,"He was born in San Juan, Puerto Rico.",False
402,"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.",The film is a great example of how intolerance can tear families apart.,He was a member of the Labour Party and is currently the only Democrat elected to that office.,False
403,"Marvin graduated from Woodberry Forest School in 1975, and spent most summers and holidays at the sprawling family estate, the Bush Compound.","He was awarded the 1921 Nobel Prize for Physics by his fellow- mathematician, along with a Ph.D from Harvard Law School in 1922.",The movie is so bad that it almost ceases to be entertaining.,False
404,"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.","He was a member of the United States Marine Corps, and served as captain in the American Expeditionary Forces (USAAF) during World War II.",He graduated from Harvard in 1876 and received a Juris Doctor degree in economics.,False
405,"Eventually, the band settled on Chad Channing, with whom the band recorded the album Bleach, released on Sub Pop Records in 1989.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich.","He was born in San Juan, Puerto Rico to a U.S. engineer and his wife Maria Cantina.",False
406,Burroughs graduated from Harvard University in 1936.,He graduated from Harvard in 1876 and received a Juris Doctor degree in economics.,"He was a member of the United States Marine Corps, and served as captain in the American Expeditionary Forces (USAAF) during World War II.",False
407,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.","A work of extraordinary intelligence and stunning technical execution, but it also has a compelling story.","He was a founding member of the Arista Records, and is currently special counsel at the Washington D.C.-based firm of Robert Aitken & Co., as well as managing director of the highly regarded John F. Kennedy Library.",False
408,He had an elder brother named Emmet Olson.,He was awarded the 1921 Nobel Prize for Physics.,"In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich.",False
409,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.","He was born in San Juan, Puerto Rico.","The movie is so bad that it almost ceases to be funny, and the audience has become numb with its conclusion.",False
410,"Cheney grew up in Casper, Wyoming, and met his high-school sweetheart and future wife, Lynne Vincent, at age fourteen.","He was married to actress Rosemary Clooney from 1953 until 1956, and had five children: including actor Henry Ford (born 1955), Jr., born in 1958; and singer Rose Marie Presley.","He was born in San Juan, Puerto Rico.",False
411,"The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.","The film is a great example of the power of cinema to give us glimpses at our values, as well as into the lives of people who value their beliefs.",It's a work of astonishing grace.,False
412,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.","He served as a Republican from January 3, 1876 until December 4, 1901.",He graduated from Morehouse College in 1801 and received a Bachelor of Arts degree in Sociology in 1901.,False
413,He began to learn mathematics around age twelve.,He graduated from Marlborough College in 1805 and enrolled at the University of Wisconsin-Madison.,"He was awarded the 1921 Nobel Prize for Physics by his explanation of ""miracle year"" and received a Ph.D from Harvard Law School in 1922.",False
414,The second coming of Harry Potter is a film far superior to its predecessor.,The movie is a work of astonishing intelligence and stunning clarity.,He graduated from the University of Wisconsin-Madison with a Bachelor of Arts degree in Sociology and received an LLB from The University of Chicago.,False
415,"He was elected the Natrona County High School senior class president, represented the school at Boys State, and played halfback on the football team.",He graduated from the University of Wisconsin-Madison with a Bachelor of Arts degree in Sociology and received an LLB from The University of Chicago.,"In 1879, he was elected to the United States House of Representatives as a Republican from Connecticut and was reelected in 1890.",False
416,"Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.","John Winthrop (born May 5, 1953 in New York City) is a Democratic politician and the longest serving Premier of California.","It's a strange, almost completely unsentimental comedy that permeates the film.",False
417,"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.","It's a strange, almost completely unsentimental comedy that permeates the film.","John Fitzgerald Kennedy (May 23, 1787 - December 5, 1894) was an American novelist and publisher.",False
418,"Marvin graduated from Woodberry Forest School in 1975, and spent most summers and holidays at the sprawling family estate, the Bush Compound.","He was a member of the Skull and Bones society, having been born in New York City to Irish American parents.","The film is a great example of the power of cinema to bring us into the life of its subjects, and it's also one that draws us in.",False
419,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He was a founding member of the Arithmometer Company.,It's a staggeringly unfunny experience.,False
420,"He graduated from Princeton University in 1952, and attended Harvard University in 1954-55.",He graduated from Morehouse College with a Bachelor of Arts degree in Sociology.,The film is a work of astonishing grace and eloquence.,False
421,"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.","He was a member of the Executive Committee at United Nations Commission on Human Rights, and served as president of that organization from 1877 to 1890.","The movie is a blandly unfunny and unimpressive affair, one that will only satisfy the most emotionally malleable of filmgoers.",False
422,Adams received one electoral vote in the presidential election of 1820.,"He was born in St Germain, France to a Jewish family.","He was a member of the Skull and Bones society, having been educated at Oundle School.",False
423,"So young, so smart, such talent, such a wise ***.","The movie is so bad that it almost ceases to be worthwhile, and the performances are downright depressing.","He was a member of the Executive Committee at United Nations Commission on Human Rights, and served as president of that organization from 1877 to 1890.",False
424,"Lift, the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.","In 1968, he was awarded the Presidential Medal of Freedom for his services to humanitarian work in a World War II-era photoelectric campaign.","In 1968, he was awarded the Presidential Medal of Freedom for his services to humanitarian work in a World War II-era photoelectric campaign.",True
425,She was the fifth of nine children.,He graduated from Morehouse College in 1876.,The film is a great example of how intolerance can tear families apart.,False
426,"Frank Durward White (June 4, 1933 - May 21, 2003) was the Republican governor of the U.S. state of Arkansas from 1981 to 1983.","He was a member of the Skull and Bones society, but also served as chairman of that organization.","The movie is so bad that it almost ceases to be worthwhile, and the performances are downright depressing.",False
427,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.",He was a member of the Union forces and served as general-in-chief (1939 to 1848) during World War I.,"He was born in San Juan, Puerto Rico to Luis Ferrer and Maria Ferrer (daughter of U.S. Presidents George W. Bush) and Eleanor Roosevelt.",False
428,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...","The movie is a blandly unfunny and depressing affair, one that will only satisfy the most emotionally malleable of us.","The movie is a blandly unfunny affair, with the occasional amusing dialogue and some serious soul searching.",False
429,"Marvin graduated from Woodberry Forest School in 1975, and spent most summers and holidays at the sprawling family estate, the Bush Compound.","He graduated from high school in 1876 and enrolled at the University of Wisconsin-Madison, where he received a scholarship to study economics.","He was awarded the 1921 Nobel Prize for Physics by his wife, Marie Louise de Visscher.",False
430,Bad and baffling from the get-go.,It's a staggeringly unfunny experience.,"He was married to actress Lyman, who died in 2003.",False
431,His work dealt largely with the poor urban black and mulatto communities of Bahia.,"He served as a Republican from January 1, 1901 until December 3, 2002.","He graduated from Morehouse College in 1876 and enrolled at the University of Wisconsin-Madison, where he received a Bachelor of Arts degree in Sociology.",False
432,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich, Connecticut.","The movie is a blandly unfunny and depressing affair, one that will only satisfy the most emotionally malleable of us.",False
433,The second coming of Harry Potter is a film far superior to its predecessor.,The film is a work of astonishing grace and eloquence.,"He was born in St Germain, France to a Jewish family.",False
434,"... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.","The movie is a blandly unfunny affair, with the occasional amusing dialogue and some serious soul searching.","He was a member of the Skull and Bones society, having been born in New York City to Irish American parents.",False
435,These events soon led to the American Civil War.,"He was married to actress Lyman, who died in 2003.",He was a founding member of the Arithmometer Company.,False
436,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.","The movie is so bad that it almost ceases to be a worthwhile spectacle, and instead becomes fodder for the next generation of filmgoers who have little patience for cinema.",He was a member of the Union forces and served as general-in-chief (1939 to 1848) during World War I.,False
437,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.","He was born in San Juan, Puerto Rico to Luis Ferrer and Maria Ferrer (daughter of U.S. Presidents George W. Bush) and Eleanor Roosevelt.","In 1894, he joined the United States Rubber Company (based in New York City) as manager of foreign division and moved to Greenwich, Connecticut.",False
438,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,"The movie is a blandly unfunny and unimpressive affair, one that will only satisfy the most emotionally malleable of filmgoers.",He graduated from Morehouse College with a Bachelor of Arts degree in Sociology.,False
439,"Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... that ultimately dulls the human tragedy at the story's core.","The film is a great example of the power of cinema to bring us into the life of its subjects, and it's also one that draws us in.","It's a great American adventure, and one of the best in years.",False
440,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.","He was a member of the Skull and Bones society, having been educated at Oundle School.","The movie is so bad that it almost ceases to be a worthwhile spectacle, and instead becomes fodder for the next generation of filmgoers who have little patience for cinema.",False
441,"Lift, the mother of Danny DeVito's character in her Academy Award nominated performance in Throw Momma from the Train.","He was awarded the 1921 Nobel Prize for Physics by his wife, Marie Louise de Visscher.","He served as a Republican from January 1, 1901 until December 3, 2002.",False
442,"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.","John Fitzgerald Kennedy (May 23, 1787 - December 5, 1894) was an American novelist and publisher.","John Winthrop (born May 5, 1953 in New York City) is a Democratic politician and the longest serving Premier of California.",False
443,"Lawford became an American citizen in 1960, in time to vote for his brother-in-law John F. Kennedy.","He was born in San Juan, Puerto Rico to a Cuban immigrant and his wife Maria.",He graduated from Morehouse College in 1876.,False
444,Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.,The film is a great example of how intolerance can tear families apart.,"He married Coretta Scott on May 3, 1953.",False
445,"On April 8, 1995 he married actress Patricia Arquette.","He married Coretta Scott on May 3, 1953.","He graduated from high school in 1876 and enrolled at the University of Wisconsin-Madison, where he received a scholarship to study economics.",False
446,A strangely compelling and brilliantly acted psychological drama.,"It's a great American adventure, and one of the best in years.","He was a member of the Skull and Bones society, but also served as chairman of that organization.",False
447,In 1902 Geiger began to study physics and mathematics in Erlangen and later attained a doctorate in 1906.,"He graduated from Morehouse College in 1876 and enrolled at the University of Wisconsin-Madison, where he received a Bachelor of Arts degree in Sociology.","He was born in San Juan, Puerto Rico to a Cuban immigrant and his wife Maria.",False
448,"The Emperor's Club is one of those films that possesses all the good intentions in the world, but...",The film is a thinly veiled look at the lives of ordinary people living in poverty.,"He was a member of the Skull and Bones society, as well as an occasional guest star on The Simpsons.",False
449,"In 1983, Miguel was given a small part as a waiter in the movie The Man Who Wasn't There.","He was born in San Juan, Puerto Rico.","John Fitzgerald Kennedy (May 23, 1787 - April 5, 1876) was an American politician who served as the 35th Governor of Florida from January 1, 1917 to December 3, 1918.",False
450,Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens -- especially the a**holes.,"The film is a great example of the power of cinema to bring people together in one cohesive, coherent vision.","It's a great American adventure, but it is also one that will disappoint.",False
451,"John Drew Barrymore, also known as John Barrymore, Jr., (June 4, 1929 - November 29, 2004) was an actor, one of The Barrymores, a family of actors that included his father, John Barrymore, and his father's siblings, his uncle Lionel and his aunt Ethel.",He was a member of the Executive Committee (EC) and served as president of that organization from 1975 until 1977.,"He was born in San Juan, Puerto Rico.",False
452,He was first appointed to fill the Senate seat of Ernest Lundeen who had died in office.,"He was a member of the Skull and Bones society, but left active duty in 1848.","The movie is a great example of how intolerance can tear apart families, and the film feels like an extended play in some otherworldly adventure.",False
453,"If you already like this sort of thing, this is that sort of thing all over again.",A work of extraordinary courage and grace.,The film is a great example of the power of cinema to bring us together in an age when we value our values above our own.,False
454,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.","He was a member of the Skull and Bones society, as well as an occasional guest star on The Simpsons.","The movie is so bad that it almost ceases to be entertaining, and the audience will probably laugh their collective asses off.",False
455,"The delicious trimmings... arrive early and stay late, filling nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humankind's liberating ability to triumph over a Scrooge or two.",The film is a great example of the power of cinema to bring us together in an age when we value our values above our own.,He graduated from high school in 1876 and enrolled at the University of Wisconsin-Madison.,False
456,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.","He was born in San Juan, Puerto Rico to a wealthy family and an American lawyer.","He was a member of the Executive Committee (FC) and served as chairman, managing general partner (1972-1973), and vice president (1974 - 1977).",False
457,His ancestor Johann Valentin Pressler emigrated to North America in 1710.,He was a member of the Labour Party from 1971 until 1972.,"The movie is so bad that it becomes a zombie apocalypse, and the audience will probably forget all about it.",False
458,"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.","The movie is a blandly unfunny and derivative affair, one that will only satisfy the most emotionally malleable of filmgoers.","He graduated from Morehouse College in 1876 and enrolled at the University of Wisconsin-Madison, where he received a relatively progressive education.",False
459,"Despite his father's opposition to him having a foreign-born wife, Adams wed Louisa Johnson in 1797.","He was a member of the Skull and Bones society, but left in 1876 to become president.","He was a member of the Skull and Bones society, having been born in New York City to Irish American parents who were both members of that organization.",False
460,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,"The movie is so bad that it almost ceases to be entertaining, and the audience will probably laugh their collective asses off.","It's a great American adventure, but it also has plenty of flaws.",False
461,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,"It's a great American adventure, but it also has plenty of flaws.","It's a sadistic comedy, but neither is it funny.",False
462,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,The movie is a blast of energy and the visuals are breathtakingly beautiful.,The movie is a blast of energy and the visuals are breathtakingly beautiful.,True
463,"You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story.","The only entertainment you'll get from watching the two-day old movie is the one where it starts to become a cult hero, and then goes downhill as soon as its audience sees the original.",He was a member of the Executive Committee (EC) and served as president of that organization from 1975 until 1977.,False
464,"He attended secondary school (Volksschule), and learned the trade of a joiner.","He was a founding member of the Arithmometer Company, which later became Standard Oil.",He graduated from high school in 1953 and enrolled at the University of Wisconsin-Madison.,False
465,"Marvin graduated from Woodberry Forest School in 1975, and spent most summers and holidays at the sprawling family estate, the Bush Compound.","He graduated from Morehouse College in 1876 and enrolled at the University of Wisconsin-Madison, where he received a relatively progressive education.",A work of extraordinary courage and grace.,False
466,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,The movie is as if it were a preamble to the next day's video games.,The film is a thinly veiled look at the lives of ordinary people living in poverty.,False
467,"He remained in Hollywood for the duration of the war, attaining the rank of captain.","John Fitzgerald Kennedy (May 23, 1787 - April 5, 1876) was an American politician who served as the 35th Governor of Florida from January 1, 1917 to December 3, 1918.",The movie is as if it were a preamble to the next day's video games.,False
468,Exceptionally well acted by Diane Lane and Richard Gere.,"It's a great American adventure, but it is also one that will disappoint.","He was a member of the Skull and Bones society, but left in 1876 to become president.",False
