sample_index,reference,real_eeg,shuffled_eeg,exact_match
377,"Some say this was because of a bargain he struck with Henry Clay, which put Clay into office as his Secretary of State once Adams won.","He was born in St. Germain, Ohio, and was educated at the University of Chicago, where he was a member of the Yale Law School.","The movie is a good example of how the film is made, but it's not as good as it's entertaining.",False
378,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.",The movie is a great example of the power of the human being's inability to figure out what's going on.,"In 1876, he was born in St. Germain, France, and was a member of the St. Louis.",False
379,Then he went on to a public grammar school for three years.,"John Fitzgerald Kennedy (May 23, 18, 1887 - December 12, 1989) was an American politician, and a Democrat.","In 1876, he was born in New York City to William and Mary Kennedy, and was a member of the House of Representatives.",False
380,"Dole has worked part-time for a Washington, DC, law firm, and engaged in a career of writing, consulting, public speaking, and television appearances.",He was a member of the United States Senate from New York from 1974 until 1979 until his resignation in the Senate.,He was educated at the University of Pennsylvania and earned a Bachelor of Arts from Dartmouth College.,False
381,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.","The movie is a good example of how the film is made, but it's not as good as it's entertaining.","John Fitzgerald Kennedy (May 30, 18, 1887 - January 3, 2000) was an American film actor, and the son of the late John Fitzgerald Kennedy, the longest serving United States president.",False
382,"His employment by the General Electric company further enhanced his political image; he travelled widely as a GE spokesman, and was noted for his anti-Communist speeches.",He graduated from the University of Pennsylvania in 1876 and then joined the University.,"He was born in St. Germain, Ohio, and was educated at the University of Chicago, where he was a member of the Yale Law School.",False
383,"In between his sea voyages, Kerouac stayed in New York with friends from Fordham.",He was born in New York City in 1876 and is a member of the House of Representatives.,"In 1876, he founded the New York City Opera.",False
384,He also starred in the mini series The Stand.,He was a member of the House of Representatives from 1876 until his death.,"He was elected to the House of Representatives as a Democrat from New York state in the House representing New York, and served until 1974 until his death in the Senate.",False
385,This led to his being hired by Westinghouse company to service their steam engines.,"In the film, the Academy Award for Best Actress, was awarded the Academy in Physics.",He was a member of the founding of the University of Illinois in the University's School of Management.,False
386,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.","In 1894, he was born in the town of Manners, where he was the founder of the family, and was the first of the ""Gene Autry"" series on The Simpsons.",He married to actress Laura D.,False
387,"While serving abroad, he met Louisa Catherine Johnson, the daughter of an American merchant living abroad.","He was born in St. Andrews, Maryland, and graduated from Dartmouth College in 1953.",He was awarded the Presidential Medal of Freedom in 1998.,False
388,"He was elected the Natrona County High School senior class president, represented the school at Boys State, and played halfback on the football team.","He graduated from the University of California, Berkeley in 1876 and earned a Bachelor of Arts from Dartmouth College in 1953.","In 1876, he joined the Army as a second lieutenant, and then joined the rank of captain in the Army until 1843 until becoming a captain in",False
389,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.","The film's best performances are those that were made by the original, which starred Michael Curtiz and George Clooney.","He was born in St. Andrews, Maryland, and graduated from Dartmouth College in 1953.",False
390,"While serving abroad, he met Louisa Catherine Johnson, the daughter of an American merchant living abroad.",He was awarded the Distinguished Service Medal by the University of Pennsylvania in 2003.,He graduated from the University of Pennsylvania with a Bachelor of Arts in economics in economics from Dartmouth College in 1953.,False
391,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",The movie is a work of a movie that's a little too far into the story.,He was awarded the Distinguished Service Medal by the University of Pennsylvania in 2003.,False
392,"Adams was born in Braintree, Massachusetts in a part of town which eventually became the separate town of Quincy.","He was a member of the House of Representatives from 1974 until his death, and was a prominent member of both the House.","In 1876, he founded the United Nations Commission on Human Rights in the United States.",False
393,"Edric Frederick Gifford, 3rd Baron Gifford, VC (5 July 1849 - 5 June 1911) was an English recipient of the Victoria Cross, the highest and most prestigious award for gallantry in the face of the enemy that can be awarded to British and Commonwealth forces.",He was awarded the Presidential Medal of Freedom in Physics in 1998 in Physics for his work in 1950.,"In the film, the Academy Award for Best Actress, was awarded the Academy in Physics.",False
394,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.","In 1894, he was sent to the United States Army as a second lieutenant in the Continental Army until the rank of captain in the Army until his death in 1819.","In 1894, he was born in the town of Manners, where he was the founder of the family, and was the first of the ""Gene Autry"" series on The Simpsons.",False
395,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.","In 1876, he founded the United Nations Commission on Human Rights in the United States.","John Fitzgerald Kennedy (born August 12, 18, in San Juan, California) is an American film and television actor.",False
396,In 1902 Geiger began to study physics and mathematics in Erlangen and later attained a doctorate in 1906.,He graduated from the University of Pennsylvania with a Bachelor of Arts in economics in economics from Dartmouth College in 1953.,"The movie is a little too long for me, but it's a lot more than that.",False
397,"Eventually, the band settled on Chad Channing, with whom the band recorded the album Bleach, released on Sub Pop Records in 1989.",He was a member of the founding of the University of Illinois in the University's School of Management.,"The film's a marvel of the original, and one that, in a way, both maintain and maintain, is a marvel to behold.",False
398,She was the fifth of nine children.,He was awarded the Distinguished Service Medal from the University of Pennsylvania in 1953.,The movie is a marvel of the artifice of a movie that conceals the most compelling characters and their talents.,False
399,"Parker should be commended for taking a fresh approach to familiar material, but his determination to remain true to the original text leads him to adopt a somewhat mannered tone... that ultimately dulls the human tragedy at the story's core.","The film's a bit too far into the subject matter, but it's a compelling one, one that has a certain charm about a man who has been through it all.",He was a member of the United States House of Representatives from 1977 until 1979.,False
400,He was one of the founder members of the Lunar Society.,"In 1876, he founded the American Enterprise Institute, and was a founding member of the American Conservative Party.","He was a member of the House of Representatives from 1974 until his death, and was a prominent member of both the House.",False
401,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.",He graduated from Dartmouth College in 1953 and earned a Bachelor of Arts from Dartmouth in 1953.,He was awarded the Distinguished Service Medal from the University of Pennsylvania in 1953.,False
402,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.",The movie is a marvel of the artifice of a movie that conceals the most compelling characters and their talents.,"The film's a bit too far into the subject matter, but it's a compelling one, one that has a certain charm about a man who has been through it all.",False
403,He was the first American to win a Nobel Prize in any category.,He was awarded the Presidential Medal of Freedom in 1998.,He graduated from Dartmouth College in 1953 and earned a Bachelor of Arts from Dartmouth in 1953.,False
404,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,The film is a work of a young artist who has grown bored with the subject.,The movie is a great example of the power of a family film that's both gripping and heartfelt.,False
405,"The couple have four children: daughters Katherine and Christina, and sons Patrick and Christopher.","He married to actress Laura Daina Harris in 1948, and they had three children.","In 1876, he founded the American Enterprise Institute, and was a founding member of the American Conservative Party.",False
406,"Beautifully crafted, engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic, twisty yarn that will keep them guessing.",The movie is a great example of the power of a family film that's both gripping and heartfelt.,The film is a work of a young artist who has grown bored with the subject.,False
407,He had an elder brother named Emmet Olson.,He was a member of the United States House of Representatives from 1977 until 1979.,"He graduated from the University of California, Berkeley in 1876 and earned a Bachelor of Arts from Dartmouth College in 1953.",False
408,"Marvin graduated from Woodberry Forest School in 1975, and spent most summers and holidays at the sprawling family estate, the Bush Compound.","In 1876, he joined the Army as a second lieutenant, and then joined the rank of captain in the Army until 1843 until becoming a captain in","He married to actress Laura Daina Harris in 1948, and they had three children.",False
409,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,"A movie with a great cast and a great story, it's a little too much for me.",He was awarded the Presidential Medal of Freedom in Physics in 1998 in Physics for his work in 1950.,False
410,"John Drew Barrymore, also known as John Barrymore, Jr., (June 4, 1929 - November 29, 2004) was an actor, one of The Barrymores, a family of actors that included his father, John Barrymore, and his father's siblings, his uncle Lionel and his aunt Ethel.","He was elected to the House of Representatives as a Democrat from New York state in the House representing New York, and served until 1974 until his death in the Senate.","A movie with a great cast and a great story, it's a little too much for me.",False
411,"The movie's plot is almost entirely witless and inane, carrying every gag two or three times beyond its limit to sustain a laugh.","The movie is a little too long for me, but it's a lot more than that.",He was a member of the House of Representatives from 1876 until his death.,False
412,"Lawford became an American citizen in 1960, in time to vote for his brother-in-law John F. Kennedy.","John Fitzgerald Kennedy (born August 12, 18, in San Juan, California) is an American film and television actor.","The film's best performances are those that were made by the original, which starred Michael Curtiz and George Clooney.",False
413,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,"The film's a marvel of the original, and one that, in a way, both maintain and maintain, is a marvel to behold.",The movie is a work of a movie that's a little too far into the story.,False
414,These events soon led to the American Civil War.,He married to actress Laura D.,"A work of a movie, but it's a work of art.",False
415,Exceptionally well acted by Diane Lane and Richard Gere.,"A work of a movie, but it's a work of art.","In 1894, he was sent to the United States Army as a second lieutenant in the Continental Army until the rank of captain in the Army until his death in 1819.",False
416,The film is so bad it doesn't improve upon the experience of staring at a blank screen.,The movie is a work of a movie that's a lot likeable characters.,The movie is a great example of the power of a movie that is both gripping and poignant.,False
417,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.",The movie is a great example of the power of a movie that is both gripping and poignant.,It's a work of art.,False
418,He was the first American to win a Nobel Prize in any category.,"In 1998, she was awarded the Oscar for Best Actress for her role in The Godfather.","He was awarded the Presidential Medal of Freedom in recognition of his work in the United Nations, and was also the first United Nations Secretary-General of Human Rights.",False
419,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He was also a founding member of the founding of the American Civil Rights movement.,He was married to actress Laura Prep.,False
420,"Bill ""Billy"" Boucher (b. November 10, 1899 in Ottawa, Ontario, Canada, died November 10, 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens, Boston Bruins and New York Americans.","John Fitzgerald Kennedy (May 30, 18, 1876 - January 3, 2000) was an American film actor, and author, director, and actor, comedian, and television actor.",He married to actress Married to actress.,False
421,Anemic chronicle of money grubbing New Yorkers and their serial loveless hook ups.,"A work of art, and a little too much, is a work of satire.","John Fitzgerald Kennedy (born August 12, 18, in San Francisco) is an American film and television actor, known for his role in the 1960s and 1970s as the ""Cisco"" or ""Jack"" or the ""Jack"".",False
422,"A lousy movie that's not merely unwatchable, but also unlistenable.","It's a work of satire, but it's not funny.",He was a member of the House of Representatives from 1887 until his death in the Senate.,False
423,"... creates a visceral sense of its characters' lives and conflicted emotions that carries it far above... what could have been a melodramatic, Lifetime Channel-style anthology.","The film's a work of the kind of movie that's both gripping and poignant, and it's also a bit of a disappointment to watch.","A work of art, and a little too much, is a work of satire.",False
424,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.","He was born in St. Germain, New York, in 1876 to the late William Cecil, and was a prominent New York City.","He was born in St. Germain, New York, in 1876 to the late William Cecil, and was a prominent New York City.",True
425,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.","A work of a movie that's a little too far into the story, it's a bit too simplistic.","John Fitzgerald Kennedy (born February 18, 18, 1943) is a Republican politician.",False
426,"In XXX, Diesel is that rare creature -- an action hero with table manners, and one who proves that elegance is more than tattoo deep.",The film's a great example of the power of the human being's ability to entertain us with its quirky characters.,"The film's a work of the kind of movie that's both gripping and poignant, and it's also a bit of a disappointment to watch.",False
427,"While serving abroad, he met Louisa Catherine Johnson, the daughter of an American merchant living abroad.",He was born in New York City to parents of two daughters.,"The film's a work of art, but it's a bit too much.",False
428,"Although Adams lost in both the popular and electoral votes in the Presidential election of 1824, none of the candidates were able to secure a majority of the electoral vote, thereby putting the outcome in the hands of the House of Representatives, which to the surprise of many elected Adams over rival Andrew Jackson.","He was one of the first members of the House of Representatives in the House, and was one the first of President Dwight D. Eisenhower and was President of the Senate.","After attending the University of California, in Eureka, he enrolled at the University, where he attended the University's Law School, and then enrolled at Dartmouth College.",False
429,He was the first American to win a Nobel Prize in any category.,"In 1894, he was awarded the Academy Award for Physics by the University of Pennsylvania in Physics, and received a Bachelor of Arts from the University.","In 1894, he was commissioned by the United States Rubber Company as a general contractor, and was instrumental in the creation of the company.",False
430,He also starred in the mini series The Stand.,He was married to actress Laura Prep.,The movie is a bit too far into the movie's plot and the characters are a bit beyond the point.,False
431,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","The movie is a work of a movie that's so much like the original, but it's a movie with a lot more depth.","The movie's a little too long, but it's a good one that it's at its best.",False
432,"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.","He was born in St. Germain, New York, in 1876 to the Rev. Martin Luther King, Jr.","He was one of the first members of the House of Representatives in the House, and was one the first of President Dwight D. Eisenhower and was President of the Senate.",False
433,These events soon led to the American Civil War.,He married to actress Married to actress.,"It's a work of satire, but it's not funny.",False
434,In 1902 Geiger began to study physics and mathematics in Erlangen and later attained a doctorate in 1906.,"After attending the University of California, in Eureka, he enrolled at the University, where he attended the University's Law School, and then enrolled at Dartmouth College.","In 1998, she was awarded the Oscar for Best Actress for her role in The Godfather.",False
435,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.",The movie is a bit too far into the movie's plot and the characters are a bit beyond the point.,He was also a founding member of the founding of the American Civil Rights movement.,False
436,"Despite his father's opposition to him having a foreign-born wife, Adams wed Louisa Johnson in 1797.",He was educated at the University of South Carolina and then joined the United States Marines.,He was born in New York City to parents of two daughters.,False
437,"If you already like this sort of thing, this is that sort of thing all over again.","The film's a work of art, but it's a bit too much.","He was born in St. Germain, New York, in 1876 to the Rev. Martin Luther King, Jr.",False
438,"Albert Einstein (March 14, 1879 - April 18, 1955) was a German-born Jewish theoretical physicist of German, Swiss and American citizenship, who is widely regarded as the greatest scientist of the 20th century or even of all time, ranking alongside the luminaries Newton and Gauss.","John Fitzgerald Kennedy (born August 12, 18, in San Francisco) is an American film and television actor, known for his role in the 1960s and 1970s as the ""Cisco"" or ""Jack"" or the ""Jack"".","John Fitzgerald Kennedy (May 30, 18, 1876 - January 3, 2000) was an American film actor, and author, director, and actor, comedian, and television actor.",False
439,"Dole was twice decorated for heroic achievement, receiving two Purple Hearts for his injuries, and the Bronze Star Medal for his attempt to assist a downed radio man.","He was awarded the Presidential Medal of Freedom in recognition of his work in the United Nations, and was also the first United Nations Secretary-General of Human Rights.",He was elected to the United States House of Representatives as a Democrat and was the first Republican to serve in the House of Commons from 1877 until the Senate in the Senate from the House.,False
440,"While serving abroad, he met Louisa Catherine Johnson, the daughter of an American merchant living abroad.",He was a member of the House of Representatives from 1887 until his death in the Senate.,He was educated at the University of South Carolina and then joined the United States Marines.,False
441,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.","In 1894, he was commissioned by the United States Rubber Company as a general contractor, and was instrumental in the creation of the company.","The movie is a work of a movie that's so much like the original, but it's a movie with a lot more depth.",False
442,... something appears to have been lost in the translation this time.,It's a work of art.,The movie is a work of a movie that's a lot likeable characters.,False
443,He was then hired by the legal department of CBS subsidiary Columbia Records.,He was a member of the House of Representatives from 1974 until 1979.,"A work of a movie that's a little too far into the story, it's a bit too simplistic.",False
444,"Arnold Alois Schwarzenegger (born July 30, 1947 in Thal, Styria, Austria) is an Austrian-American actor, Republican politician, and bodybuilder, currently serving as the 38th Governor of California.","John Fitzgerald Kennedy (born February 18, 18, 1943) is a Republican politician.",He married to actress Laura D. Lieberman.,False
445,"On April 8, 1995 he married actress Patricia Arquette.",He married to actress Laura D. Lieberman.,"In 1894, he was awarded the Academy Award for Physics by the University of Pennsylvania in Physics, and received a Bachelor of Arts from the University.",False
446,"During this time he worked on developing a federal system of roads, canals, bridges, lighthouses, and universities until Jackson, who defeated Adams in the latter's quest for re-election, was sworn in to replace him.",He was elected to the United States House of Representatives as a Democrat and was the first Republican to serve in the House of Commons from 1877 until the Senate in the Senate from the House.,The film's a great example of the power of the human being's ability to entertain us with its quirky characters.,False
447,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.,"The movie's a little too long, but it's a good one that it's at its best.",He was a member of the House of Representatives from 1974 until 1979.,False
448,The sort of movie that gives tastelessness a bad rap.,It's a work of a great film.,"The movie is a little too far into the movie's plot holes, but it's still a compelling one.",False
449,"Some say this was because of a bargain he struck with Henry Clay, which put Clay into office as his Secretary of State once Adams won.","In 1894, he was elected to the House of Representatives and was elected the first Governor of Connecticut.","He was born in New York City, and is a former United States Secretary of the United States.",False
450,"You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story.","The movie is a little too far into the movie, but it's a good one, one that has a lot of potential to be funny.","In 1876, he founded the founding of the New York City-based New York Stock Company.",False
451,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.","John Fitzgerald Kennedy (May 23, 18, 1887 - April 5, 1923) was an American novelist, poet, and educator.","In 1894, he was elected to the House of Representatives and was elected the first Governor of Connecticut.",False
452,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.",The movie is a work of a movie that is both gripping and heartfelt.,"In 1876, he was elected to the United States House of Representatives.",False
453,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.","John Fitzgerald Kennedy (May 18, 18, in San Francisco, California) was an American film actor.","In 1839, he married his wife, Elizabeth, and they had three children. Elizabeth was married until her death.",False
454,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.","The movie is a little too far into the movie's plot holes, but it's still a compelling one.","The film's best is a comedy, but it's not as good as it's made.",False
455,"Cheney grew up in Casper, Wyoming, and met his high-school sweetheart and future wife, Lynne Vincent, at age fourteen.","In 1839, he married his wife, Elizabeth, and they had three children. Elizabeth was married until her death.",He was elected to the United States House of Representatives in the Democratic Party.,False
456,"If you already like this sort of thing, this is that sort of thing all over again.","The film's a work of art, but it's also a bit too far.","The film's a work of art, but it's also a bit dated.",False
457,"She later moved yet further from her Boston-based persecutors, to what is now The Bronx in northern New York City.","In 1876, he was born in St. Germain, France, and was a child of actress Rosemary Clooney.",The movie is a bit too far into the subject of the movie's plot and the characters are a bit beyond the point of interest.,False
458,"While it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.","The movie is a little too long, but it's a good one with a lot of depth and a lot more substance.",He was awarded the Oscar for Best Supporting Actress in the Best Supporting Actor in the Oscar-winning role.,False
459,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film.",The movie is a work of a movie that's a little too far into the present.,"He is a Democrat from New York, and is a former United States House of Representatives.",False
460,... something appears to have been lost in the translation this time.,"The film's best is a comedy, but it's not as good as it's made.","A work of art, but it's a work of a film.",False
461,The second coming of Harry Potter is a film far superior to its predecessor.,"A work of art, but it's a work of a film.",He was elected to the House of Representatives in the House for the Democratic Party and served until January of 1970.,False
462,The second coming of Harry Potter is a film far superior to its predecessor.,It's a work of a film that's a lot likeable characters.,It's a work of a film that's a lot likeable characters.,True
463,"Alain Choquart's camera barely stops moving, portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency, which, for a film that takes nearly three hours to unspool, is both funny and irritating.",The movie is a good example of the way to a movie that is both gripping and compelling.,"John Fitzgerald Kennedy (May 23, 18, 1887 - April 5, 1923) was an American novelist, poet, and educator.",False
464,"He attended secondary school (Volksschule), and learned the trade of a joiner.","In 1876, he founded the New York City company, and in 1876 he founded Standard Oil.","The movie is a little too far into the movie's plotline, but it's a good one.",False
465,He was the first American to win a Nobel Prize in any category.,He was awarded the Oscar for Best Supporting Actress in the Best Supporting Actor in the Oscar-winning role.,"John Fitzgerald Kennedy (May 18, 18, in San Francisco, California) was an American film actor.",False
466,He began to learn mathematics around age twelve.,He was educated at Marlborough College.,It's a work of a great film.,False
467,"His employment by the General Electric company further enhanced his political image; he travelled widely as a GE spokesman, and was noted for his anti-Communist speeches.","He was born in New York City, and is a former United States Secretary of the United States.",He was educated at Marlborough College.,False
468,His gift of $5 million dollars helped found the Great Smoky Mountains National Park.,"In 1876, he founded the founding of the New York City-based New York Stock Company.",The movie is a work of a movie that's a little too far into the present.,False
469,"Alain Choquart's camera barely stops moving, portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency, which, for a film that takes nearly three hours to unspool, is both funny and irritating.",The movie is a bit too far into the subject of the movie's plot and the characters are a bit beyond the point of interest.,"In 1876, he founded the New York City company, and in 1876 he founded Standard Oil.",False
470,"Miguel Ferrer (born February 7, 1955 in Santa Monica, California) is a Puerto Rican-American actor who is often cast in movies as a villain.","In 1887, the son of the founder of the American Century, George H. W. Bush, was the first United States Secretary of Defense.","The movie is a little too long, but it's a good one with a lot of depth and a lot more substance.",False
471,"He graduated from Princeton University in 1952, and attended Harvard University in 1954-55.",He graduated from Dartmouth College in New York in 1953.,The movie is a good example of the way to a movie that is both gripping and compelling.,False
472,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths.,"The movie is a little too far into the movie's plotline, but it's a good one.","In 1876, he was born in St. Germain, France, and was a child of actress Rosemary Clooney.",False
473,"He attended secondary school (Volksschule), and learned the trade of a joiner.","In 1876, he was elected to the United States House of Representatives.","The movie is a little too far into the movie, but it's a good one, one that has a lot of potential to be funny.",False
474,Then he went on to a public grammar school for three years.,He was elected to the United States House of Representatives in the Democratic Party.,"The film's a work of art, but it's also a work.",False
475,Adams received one electoral vote in the presidential election of 1820.,He was elected to the House of Representatives in 1887.,He graduated from Dartmouth College in New York in 1953.,False
476,A strangely compelling and brilliantly acted psychological drama.,"The film's a work of art, but it's also a work.",The movie is a work of a movie that is both gripping and heartfelt.,False
477,"Rather than retire, Adams would go on to win election as a Democratic-Republican to the House of Representatives beginning with the 22nd Congress, serving from March 4, 1831, until his death.","He is a Democrat from New York, and is a former United States House of Representatives.","In 1887, the son of the founder of the American Century, George H. W. Bush, was the first United States Secretary of Defense.",False
478,"``My god, I'm behaving like an idiot!''","The film's a work of art, but it's also a bit dated.",He was elected to the House of Representatives in 1887.,False
479,"He remained in Hollywood for the duration of the war, attaining the rank of captain.",He was elected to the House of Representatives in the House for the Democratic Party and served until January of 1970.,"The film's a work of art, but it's also a bit too far.",False
480,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target.","The film's best, if it's not a comedy, is a compelling one that will leave you wanting more.",It's a work of a movie that never is.,False
481,His ancestor Johann Valentin Pressler emigrated to North America in 1710.,He was a member of the House of Representatives from 1974 until 1989.,"The movie is a work of a good film, but it's a work that's a bit too far.",False
482,"He attended secondary school (Volksschule), and learned the trade of a joiner.","In 1876, he founded the New York City Opera and founded the Standard Oil Company.","The film's best, if it's not a cult classic, is a work of pure entertainment.",False
483,"Like the best of Godard's movies... it is visually ravishing, penetrating, impenetrable.","It's a strange way to spend a movie, but it's a good one.",He was awarded the Presidential Medal of Freedom in recognition of his services to the United States.,False
484,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...","The movie is a work of a movie that's a little too long, but it's a movie with a lot more.",He is a member of the United States Senate from New York.,False
485,"You come away wishing, though, that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story.","The movie is a marvel of the original's ability to capture the original, but it's a movie that has a way of conceals its purpose.","John Fitzgerald Kennedy (born February 12, 18, in St. Louis, Missouri) was an American film actor.",False
486,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.",He is also a strong supporter of the American civil rights movement.,He was educated at the University of Pennsylvania and then joined the Army until 1975.,False
487,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","The movie is a work of the best film, but it's a bit beyond its scope.","John Fitzgerald Kennedy (August 30, 1876 - January 3, 2003) was a British writer, poet, and television actress.",False
488,President Clinton awarded him the Presidential Medal of Freedom in early 1997 for his service in the military and his political career.,He was awarded the Presidential Medal of Freedom in recognition of his services to the United States.,"He was born in St. George, Missouri, and was educated at the University of Pennsylvania.",False
489,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.",He is a member of the United States Senate from New York.,"The film's a work of art, but it's a bit too much.",False
490,"A lousy movie that's not merely unwatchable, but also unlistenable.","It's a work of art, but it's not as good.",He was nominated for the Academy Award for the Best Supporting Actress in the Best Actress in a Supporting Actress for The Godfather Part II) for his role in The Godmother Part II.,False
491,"In 1983, Miguel was given a small part as a waiter in the movie The Man Who Wasn't There.","In 1894, he was cast in the role of the famous ""F.B."" series The Silence of the Lambs.",He attended the University of Pennsylvania and earned a Bachelor of Arts in economics from Dartmouth College in 1953.,False
492,"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.","In 1876, he was born in St. Germain, Missouri, and was a singer with the band.","In 1876, he founded the New York City Opera and founded the Standard Oil Company.",False
493,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,The movie is a work of a movie that is a little too far into the characters and the acting.,"It's a strange way to spend a movie, but it's a good one.",False
494,"John William Coltrane (September 23, 1926 - July 17, 1967) was an American jazz saxophonist and composer.","John Fitzgerald Kennedy (August 30, 1876 - January 3, 2003) was a British writer, poet, and television actress.",The movie is a good example of the power of a movie that has nothing left to the imagination of a viewer who has been forced to watch a movie.,False
495,A strangely compelling and brilliantly acted psychological drama.,"The film's a work of art, but it's a bit too much.","The film's best, most affecting, and most affecting is its conclusion, but it's also a work of art.",False
496,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He was educated at the University of Pennsylvania and earned a Bachelor of Arts from Dartmouth College.,"It's a work of art, but it's not as good.",False
497,"John Drew Barrymore, also known as John Barrymore, Jr., (June 4, 1929 - November 29, 2004) was an actor, one of The Barrymores, a family of actors that included his father, John Barrymore, and his father's siblings, his uncle Lionel and his aunt Ethel.","John Fitzgerald Kennedy (January 23, 18, 1876 - January 23, 1963) was a United States Secretary of Defense, and a Republican politician who was the Governor of the state of Connecticut.","The movie is a work of a movie that's a little too long, but it's a movie with a lot more.",False
498,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.","The film's best, if it's not a cult classic, is a work of pure entertainment.",He is also a strong supporter of the American civil rights movement.,False
499,Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.,"The film's best, most affecting, and most affecting is its conclusion, but it's also a work of art.","John Fitzgerald Kennedy (January 23, 18, 1876 - January 23, 1963) was a United States Secretary of Defense, and a Republican politician who was the Governor of the state of Connecticut.",False
500,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,"A work of art, and a bit too far, is a work of a movie that just doesn't work.","The movie is a work of the best film, but it's a bit beyond its scope.",False
501,He was the first American to win a Nobel Prize in any category.,"In recognition of his services to the United Nations, he was awarded the Presidential Medal of Freedom in 1990.","In 1876, he was born in St. Germain, Missouri, and was a singer with the band.",False
502,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,"The movie is a work of a good film, but it's a work that's a bit too far.","The movie is a work of a movie that's a little too far into the story, but it's a good one.",False
503,"The family was Jewish (non-observant); Albert attended a Catholic elementary school and, at the insistence of his mother, was given violin lessons.",He attended the University of Pennsylvania and earned a Bachelor of Arts in economics from Dartmouth College in 1953.,The movie is a work of a movie that is a little too far into the characters and the acting.,False
504,He had an elder brother named Emmet Olson.,He was raised in a small town in South Carolina.,"In recognition of his services to the United Nations, he was awarded the Presidential Medal of Freedom in 1990.",False
505,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,"The movie is a work of a movie that's a little too far into the story, but it's a good one.",He was raised in a small town in South Carolina.,False
